t,x,tau
262,0.903652785,10
263,0.95586086,10
264,0.998154235,10
265,1.031210769,10
266,1.057246321,10
267,1.079244137,10
268,1.100441713,10
269,1.123755331,10
270,1.15072656,10
271,1.179696463,10
272,1.20440814,10
273,1.216556059,10
274,1.211702633,10
275,1.191269797,10
276,1.159541042,10
277,1.120621424,10
278,1.077216486,10
279,1.030559642,10
280,0.980868804,10
281,0.928164824,10
282,0.873278338,10
283,0.818401287,10
284,0.766595765,10
285,0.720915066,10
286,0.684090442,10
287,0.658675037,10
288,0.647165416,10
289,0.651858867,10
290,0.674334066,10
291,0.714431701,10
292,0.768882681,10
293,0.830836482,10
294,0.89199099,10
295,0.946068593,10
296,0.990377396,10
297,1.02515417,10
298,1.052379471,10
299,1.07492782,10
300,1.096025481,10
301,1.118717614,10
302,1.144948011,10
303,1.173873299,10
304,1.200138436,10
305,1.215391215,10
306,1.214032378,10
307,1.196451231,10
308,1.166652657,10
309,1.128930059,10
310,1.086301854,10
311,1.040274248,10
312,0.991214323,10
313,0.939100722,10
314,0.884527256,10
315,0.829416881,10
316,0.776733912,10
317,0.729582678,10
318,0.690754876,10
319,0.662823442,10
320,0.648296462,10
321,0.649538364,10
322,0.668337382,10
323,0.704995725,10
324,0.756975482,10
325,0.818078299,10
326,0.880007707,10
327,0.935855558,10
328,0.982206867,10
329,1.018803017,10
330,1.04735261,10
331,1.070598295,10
332,1.091732512,10
333,1.113891512,10
334,1.13935096,10
335,1.168002558,10
336,1.195451035,10
337,1.213565727,10
338,1.215727265,10
339,1.201168563,10
340,1.173470007,10
341,1.137053158,10
342,1.095244023,10
343,1.049839939,10
344,1.001390733,10
345,0.949877776,10
346,0.89569078,10
347,0.84046889,10
348,0.787035127,10
349,0.738525516,10
350,0.697798156,10
351,0.667454041,10
352,0.65001177,10
353,0.647887789,10
354,0.663043774,10
355,0.696182631,10
356,0.745450144,10
357,0.805359036,10
358,0.867774607,10
359,0.925249943,10
360,0.973628963,10
361,1.012107518,10
362,1.042085547,10
363,1.066152099,10
364,1.087447565,10
365,1.109169067,10
366,1.133861894,10
367,1.162063151,10
368,1.190343366,10
369,1.211031364,10
370,1.216690165,10
371,1.205317271,10
372,1.179913376,10
373,1.144950212,10
374,1.104045267,10
375,1.059297792,10
376,1.011466507,10
377,0.96057545,10
378,0.906847655,10
379,0.851636563,10
380,0.797584571,10
381,0.747835021,10
382,0.705315348,10
383,0.672662285,10
384,0.65240326,10
385,0.646991083,10
386,0.658527341,10
387,0.688061497,10
388,0.734375073,10
389,0.792733921,10
390,0.855317445,10
391,0.914252636,10
392,0.964636173,10
393,1.005064891,10
394,1.036586837,10
395,1.061611248,10
396,1.08320637,10
397,1.104601757,10
398,1.128557034,10
399,1.156167906,10
400,1.184945659,10
401,1.207879285,10
402,1.21695661,10
403,1.208904886,10
404,1.185982579,10
405,1.152616788,10
406,1.11269327,10
407,1.068622794,10
408,1.021399164,10
409,0.971129418,10
410,0.917911728,10
411,0.862821054,10
412,0.808281326,10
413,0.757411101,10
414,0.713205845,10
415,0.678347152,10
416,0.655373894,10
417,0.64676526,10
418,0.654735283,10
419,0.680628633,10
420,0.723802721,10
421,0.780285755,10
422,0.842705264,10
423,0.902896899,10
424,0.955228082,10
425,0.997649111,10
426,1.030811214,10
427,1.056916411,10
428,1.078942073,10
429,1.100126344,10
430,1.123395801,10
431,1.150320814,10
432,1.179297579,10
433,1.204124655,10
434,1.216484742,10
435,1.211861606,10
436,1.191614364,10
437,1.160012441,10
438,1.121174493,10
439,1.077826119,10
440,1.03121732,10
441,0.981573924,10
442,0.92891201,10
443,0.874045719,10
444,0.819150431,10
445,0.767283671,10
446,0.721502812,10
447,0.684542783,10
448,0.658957393,10
449,0.647243362,10
450,0.651702233,10
451,0.673927589,10
452,0.713793636,10
453,0.768083026,10
454,0.829987865,10
455,0.891201818,10
456,0.945402327,10
457,0.989849463,10
458,1.02474802,10
459,1.052061113,10
460,1.07465473,10
461,1.095753017,10
462,1.118407811,10
463,1.144586956,10
464,1.173499142,10
465,1.199852934,10
466,1.215303138,10
467,1.21417686,10
468,1.196789167,10
469,1.167121187,10
470,1.129477129,10
471,1.08689657,10
472,1.040905156,10
473,0.991881807,10
474,0.939804532,10
475,0.885252614,10
476,0.830130122,10
477,0.777392839,10
478,0.730147598,10
479,0.691190365,10
480,0.663095957,10
481,0.6483737,10
482,0.649392534,10
483,0.667953547,10
484,0.704386711,10
485,0.756199343,10
486,0.817236959,10
487,0.879208497,10
488,0.935167613,10
489,0.981651491,10
490,1.018367593,10
491,1.0470057,10
492,1.070299347,10
493,1.091438471,10
494,1.113564585,10
495,1.138973152,10
496,1.167600966,10
497,1.195116073,10
498,1.213410775,10
499,1.215805318,10
500,1.201453615,10
501,1.173902886,10
502,1.137580472,10
503,1.095831921,10
504,1.050473812,10
505,1.002068518,10
506,0.950598593,10
507,0.896441379,10
508,0.84121729,10
509,0.78773895,10
510,0.739143921,10
511,0.698294861,10
512,0.667794719,10
513,0.650162364,10
514,0.647816658,10
515,0.662729243,10
516,0.695627879,10
517,0.744703039,10
518,0.804517555,10
519,0.866953492,10
520,0.924531686,10
521,0.973045962,10
522,1.011653653,10
523,1.041732451,10
524,1.065860077,10
525,1.087172508,10
526,1.108869599,10
527,1.133512343,10
528,1.161677705,10
529,1.190000221,10
530,1.210847186,10
531,1.216735391,10
532,1.205578086,10
533,1.180331543,10
534,1.145467715,10
535,1.104622901,10
536,1.059917036,10
537,1.012123979,10
538,0.961272362,10
539,0.90757577,10
540,0.852368739,10
541,0.798280056,10
542,0.748452295,10
543,0.705817447,10
544,0.673015018,10
545,0.652573302,10
546,0.64694743,10
547,0.658247478,10
548,0.687543908,10
549,0.73365767,10
550,0.791904201,10
551,0.85448813,10
552,0.9135129,10
553,0.964026496,10
554,1.004584713,10
555,1.036210988,10
556,1.061301897,10
557,1.013370353,30
558,0.962394099,30
559,0.908585333,30
560,0.853277346,30
561,0.799097802,30
562,0.749188266,30
563,0.706479822,30
564,0.673611155,30
565,0.653109826,30
566,0.647430301,30
567,0.658682062,30
568,0.687935034,30
569,0.734009683,30
570,0.792221013,30
571,0.854773261,30
572,0.913769518,30
573,0.964257452,30
574,1.004792573,30
575,1.036398062,30
576,1.061470263,30
577,1.083071957,30
578,1.104433967,30
579,1.128328307,30
580,1.155884408,30
581,1.184673633,30
582,1.207734029,30
583,1.217024645,30
584,1.2091892,30
585,1.186431548,30
586,1.153171968,30
587,1.113312655,30
588,1.09659863,30
589,1.101400489,30
590,1.122615416,30
591,1.15202389,30
592,1.181301687,30
593,1.205102618,30
594,1.221643301,30
595,1.231658721,30
596,1.237295999,30
597,1.241398329,30
598,1.247000388,30
599,1.256696831,30
600,1.271454251,30
601,1.28869309,30
602,1.301317503,30
603,1.301180964,30
604,1.284845441,30
605,1.254438592,30
606,1.214303089,30
607,1.168265494,30
608,1.118686988,30
609,1.066514033,30
610,1.011803292,30
611,0.954594709,30
612,0.895898564,30
613,0.838080437,30
614,0.784217292,30
615,0.737274389,30
616,0.699905962,30
617,0.674624614,30
618,0.663887022,30
619,0.659899961,30
620,0.654644133,30
621,0.642904395,30
622,0.623638437,30
623,0.598824759,30
624,0.571250163,30
625,0.543199359,30
626,0.516148169,30
627,0.490834065,30
628,0.467368059,30
629,0.445343573,30
630,0.424028961,30
631,0.402744859,30
632,0.381376332,30
633,0.360675384,30
634,0.342059778,30
635,0.327232309,30
636,0.318068244,30
637,0.316730921,30
638,0.325792036,30
639,0.34819018,30
640,0.386822674,30
641,0.443391199,30
642,0.516300137,30
643,0.599077364,30
644,0.682315592,30
645,0.758244805,30
646,0.823194613,30
647,0.877015869,30
648,0.921655068,30
649,0.960094753,30
650,0.99403038,30
651,1.023690413,30
652,1.048369637,30
653,1.06716023,30
654,1.079503232,30
655,1.085381715,30
656,1.085240971,30
657,1.079808162,30
658,1.06991455,30
659,1.056350249,30
660,1.039756615,30
661,1.020570812,30
662,0.99905366,30
663,0.975418596,30
664,0.950009126,30
665,0.923418669,30
666,0.896522342,30
667,0.870483083,30
668,0.846780315,30
669,0.827259813,30
670,0.814170044,30
671,0.810111771,30
672,0.817752799,30
673,0.839098752,30
674,0.874295158,30
675,0.920408158,30
676,0.97105287,30
677,1.01800153,30
678,1.054401204,30
679,1.07676756,30
680,1.084383631,30
681,1.078323301,30
682,1.060930044,30
683,1.035363836,30
684,1.005031867,30
685,0.973090005,30
686,0.942186521,30
687,0.914424554,30
688,0.891430673,30
689,0.874443083,30
690,0.864383313,30
691,0.861905205,30
692,0.867417041,30
693,0.881053645,30
694,0.902566255,30
695,0.931150313,30
696,0.965332904,30
697,1.00306611,30
698,1.04205838,30
699,1.080223248,30
700,1.116058017,30
701,1.148810823,30
702,1.17836758,30
703,1.20478998,30
704,1.22737571,30
705,1.243309045,30
706,1.247140179,30
707,1.233691805,30
708,1.203065493,30
709,1.160906902,30
710,1.114393453,30
711,1.069722963,30
712,1.031749207,30
713,1.004176184,30
714,0.989482916,30
715,0.988516088,30
716,1.000164099,30
717,1.021620166,30
718,1.049277025,30
719,1.07973601,30
720,1.110408193,30
721,1.139593356,30
722,1.166209408,30
723,1.189365296,30
724,1.207894335,30
725,1.21995742,30
726,1.222948122,30
727,1.214041676,30
728,1.191408837,30
729,1.155306985,30
730,1.10807154,30
731,1.053091723,30
732,0.993699003,30
733,0.932576121,30
734,0.871690648,30
735,0.812548803,30
736,0.756599023,30
737,0.705629263,30
738,0.661982036,30
739,0.628512561,30
740,0.608294325,30
741,0.603835218,30
742,0.615679908,30
743,0.641292851,30
744,0.675489041,30
745,0.712114354,30
746,0.745457048,30
747,0.770845697,30
748,0.785038504,30
749,0.786702096,30
750,0.776507131,30
751,0.756541758,30
752,0.729442709,30
753,0.697755749,30
754,0.663673359,30
755,0.629045361,30
756,0.595530015,30
757,0.56480966,30
758,0.538849041,30
759,0.52020008,30
760,0.512307962,30
761,0.519543283,30
762,0.546251329,30
763,0.594135603,30
764,0.659268363,30
765,0.732445531,30
766,0.803595455,30
767,0.865792849,30
768,0.916148771,30
769,0.954824702,30
770,0.983847105,30
771,1.006283191,30
772,1.025648624,30
773,1.045263543,30
774,1.067504438,30
775,1.093231655,30
776,1.12171019,30
777,1.151127269,30
778,1.179551138,30
779,1.205785086,30
780,1.229449243,30
781,1.250341984,30
782,1.267860182,30
783,1.280995173,30
784,1.288731049,30
785,1.290427968,30
786,1.285985487,30
787,1.275828372,30
788,1.260835486,30
789,1.242299787,30
790,1.221959068,30
791,1.202097306,30
792,1.185647554,30
793,1.176075241,30
794,1.176647103,30
795,1.188822201,30
796,1.210196389,30
797,1.233669494,30
798,1.250322776,30
799,1.254640423,30
800,1.246343638,30
801,1.228087193,30
802,1.202756378,30
803,1.172127188,30
804,1.136674998,30
805,1.096080446,30
806,1.050060189,30
807,0.999065635,30
808,0.944431017,30
809,0.887952467,30
810,0.831325242,30
811,0.775850227,30
812,0.722452723,30
813,0.671819659,30
814,0.624501123,30
815,0.580952367,30
816,0.541553884,30
817,0.506635747,30
818,0.47650576,30
819,0.451465465,30
820,0.431788511,30
821,0.417625236,30
822,0.408793241,30
823,0.404452748,30
824,0.402806873,30
825,0.40118713,30
826,0.396884022,30
827,0.388473201,30
828,0.37654543,30
829,0.363081391,30
830,0.350301883,30
831,0.340088471,30
832,0.333979453,30
833,0.33337454,30
834,0.339804315,30
835,0.355239141,30
836,0.382298519,30
837,0.423926357,30
838,0.481907245,30
839,0.554445294,30
840,0.635114915,30
841,0.715225615,30
842,0.787508497,30
843,0.84786017,30
844,0.894967778,30
845,0.929254376,30
846,0.952012796,30
847,0.964887791,30
848,0.96961339,30
849,0.967895723,30
850,0.961367493,30
851,0.951568996,30
852,0.939923666,30
853,0.927679294,30
854,0.91579244,30
855,0.904765512,30
856,0.894517722,30
857,0.884435057,30
858,0.873680111,30
859,0.861616871,30
860,0.848068571,30
861,0.833320141,30
862,0.818004413,30
863,0.802998709,30
864,0.789372616,30
865,0.778394822,30
866,0.771600894,30
867,0.77089541,30
868,0.77857525,30
869,0.797034111,30
870,0.82791617,30
871,0.870805413,30
872,0.921928817,30
873,0.974002785,30
874,1.018864031,30
875,1.051593067,30
876,1.071998837,30
877,1.082948092,30
878,1.088205,30
879,1.091188344,30
880,1.094512101,30
881,1.099894647,30
882,1.108208083,30
883,1.119599884,30
884,1.133679869,30
885,1.149759289,30
886,1.167098947,30
887,1.185104377,30
888,1.203412361,30
889,1.221845881,30
890,1.240276316,30
891,1.258488806,30
892,1.276132733,30
893,1.292770579,30
894,1.307986935,30
895,1.321506449,30
896,1.333282024,30
897,1.343533599,30
898,1.352719706,30
899,1.361382103,30
900,1.369704896,30
901,1.376556169,30
902,1.378147783,30
903,1.368060951,30
904,1.341409632,30
905,1.29966226,30
906,1.248948569,30
907,1.195420159,30
908,1.143171536,30
909,1.094238237,30
910,1.049128695,30
911,1.007350905,30
912,0.967869795,30
913,0.929503111,30
914,0.891237178,30
915,0.852423808,30
916,0.812833084,30
917,0.772580066,30
918,0.731985944,30
919,0.69144406,30
920,0.651336236,30
921,0.612005159,30
922,0.573758514,30
923,0.536876146,30
924,0.501606547,30
925,0.468154305,30
926,0.436666023,30
927,0.407220417,30
928,0.379824463,30
929,0.354416499,30
930,0.330881515,30
931,0.309093712,30
932,0.289010198,30
933,0.270827872,30
934,0.255162544,30
935,0.243152805,30
936,0.236459973,30
937,0.237218981,30
938,0.247850981,30
939,0.270582615,30
940,0.306756093,30
941,0.356306635,30
942,0.417723782,30
943,0.488403607,30
944,0.565052844,30
945,0.643975524,30
946,0.721346056,30
947,0.793600046,30
948,0.857874438,30
949,0.912292721,30
950,0.955982162,30
951,0.988885317,30
952,1.011502151,30
953,1.024661687,30
954,1.02935755,30
955,1.026642042,30
956,1.017561374,30
957,1.003116434,30
958,0.984238662,30
959,0.961774942,30
960,0.936478531,30
961,0.90900594,30
962,0.879923596,30
963,0.849733041,30
964,0.818925196,30
965,0.788065126,30
966,0.757889139,30
967,0.729392194,30
968,0.703896744,30
969,0.683077222,30
970,0.668885909,30
971,0.663348084,30
972,0.668272253,30
973,0.684976271,30
974,0.714083984,30
975,0.755312414,30
976,0.807015652,30
977,0.865282366,30
978,0.923164903,30
979,0.971958673,30
980,1.005151868,30
981,1.021396009,30
982,1.023665536,30
983,1.016671469,30
984,1.005050204,30
985,0.992691814,30
986,0.982667145,30
987,0.97732153,30
988,0.978340504,30
989,0.986732152,30
990,1.002745221,30
991,1.025791021,30
992,1.054458965,30
993,1.086688361,30
994,1.120084829,30
995,1.152296858,30
996,1.181350024,30
997,1.205873089,30
998,1.225201062,30
999,1.239378517,30
1000,1.249100155,30
1001,1.255611265,30
1002,1.260566577,30
1003,1.265831606,30
1004,1.273197935,30
1005,1.283935534,30
1006,1.297995714,30
1007,1.312671028,30
1008,1.32149926,30
1009,1.316720603,30
1010,1.2959742,30
1011,1.264309977,30
1012,1.229247136,30
1013,1.196771568,30
1014,1.170375817,30
1015,1.151312323,30
1016,1.139089349,30
1017,1.132016191,30
1018,1.127707499,30
1019,1.123439811,30
1020,1.116348984,30
1021,1.103614201,30
1022,1.082841607,30
1023,1.052682741,30
1024,1.013346016,30
1025,0.966540622,30
1026,0.914835925,30
1027,0.860891113,30
1028,0.806952029,30
1029,0.754676899,30
1030,0.705160847,30
1031,0.659026014,30
1032,0.616505711,30
1033,0.577504531,30
1034,0.541649883,30
1035,0.508368412,30
1036,0.477023579,30
1037,0.44713276,30
1038,0.418635266,30
1039,0.39209959,30
1040,0.368691656,30
1041,0.349866197,30
1042,0.336990556,30
1043,0.330984838,30
1044,0.331947675,30
1045,0.338956184,30
1046,0.350281345,30
1047,0.363956036,30
1048,0.378373354,30
1049,0.392668371,30
1050,0.406866003,30
1051,0.421912207,30
1052,0.439696196,30
1053,0.463058969,30
1054,0.495576352,30
1055,0.5406458,30
1056,0.599524997,30
1057,0.669280119,30
1058,0.743065956,30
1059,0.813234798,30
1060,0.874313215,30
1061,0.923753098,30
1062,0.961177143,30
1063,0.987390268,30
1064,1.003677522,30
1065,1.011404788,30
1066,1.011820908,30
1067,1.005985363,30
1068,0.994784823,30
1069,0.979019553,30
1070,0.95953078,30
1071,0.937312611,30
1072,0.913552667,30
1073,0.889594238,30
1074,0.866830738,30
1075,0.84653612,30
1076,0.829672388,30
1077,0.81675947,30
1078,0.807871762,30
1079,0.802754705,30
1080,0.801006065,30
1081,0.802268545,30
1082,0.806409052,30
1083,0.81368364,30
1084,0.82488511,30
1085,0.841423387,30
1086,0.865179987,30
1087,0.897851977,30
1088,0.939551674,30
1089,0.986955378,30
1090,1.032639829,30
1091,1.068043689,30
1092,1.088439668,30
1093,1.094498268,30
1094,1.090044021,30
1095,1.07956544,30
1096,1.067020724,30
1097,1.055562325,30
1098,1.047603899,30
1099,1.044922176,30
1100,1.048672601,30
1101,1.059300816,30
1102,1.076425026,30
1103,1.098835889,30
1104,1.124726912,30
1105,1.152119694,30
1106,1.17930272,30
1107,1.205094775,30
1108,1.228874834,30
1109,1.250453993,30
1110,1.269902075,30
1111,1.28740232,30
1112,1.303155344,30
1113,1.317319616,30
1114,1.329957616,30
1115,1.340938517,30
1116,1.349714554,30
1117,1.354853415,30
1118,1.353331307,30
1119,1.340331513,30
1120,1.31146419,30
1121,1.267139457,30
1122,1.213292715,30
1123,1.15726279,30
1124,1.10467647,30
1125,1.05893213,30
1126,1.021577231,30
1127,0.992677237,30
1128,0.971102343,30
1129,0.954822542,30
1130,0.941236733,30
1131,0.927519817,30
1132,0.911002027,30
1133,0.889606817,30
1134,0.862267299,30
1135,0.829100647,30
1136,0.791188688,30
1137,0.750093505,30
1138,0.707393645,30
1139,0.664413733,30
1140,0.622142479,30
1141,0.581258711,30
1142,0.542196,30
1143,0.50520919,30
1144,0.470430031,30
1145,0.437911586,30
1146,0.40766731,30
1147,0.379715897,30
1148,0.354150698,30
1149,0.331261684,30
1150,0.311734597,30
1151,0.296902387,30
1152,0.28892469,30
1153,0.290698687,30
1154,0.305229692,30
1155,0.334319961,30
1156,0.377265532,30
1157,0.430833744,30
1158,0.490664395,30
1159,0.552845056,30
1160,0.614728567,30
1161,0.675040036,30
1162,0.733623792,30
1163,0.790990469,30
1164,0.847663406,30
1165,0.903422377,30
1166,0.956835623,30
1167,1.005514134,30
1168,1.046974276,30
1169,1.079451448,30
1170,1.102198091,30
1171,1.115335106,30
1172,1.119543788,30
1173,1.115791036,30
1174,1.105144439,30
1175,1.088666085,30
1176,1.067359086,30
1177,1.042146304,30
1178,1.013870121,30
1179,0.98331105,30
1180,0.951231228,30
1181,0.918454484,30
1182,0.885989197,30
1183,0.855174981,30
1184,0.82779697,30
1185,0.806062783,30
1186,0.79231933,30
1187,0.788536097,30
1188,0.795830254,30
1189,0.814300801,30
1190,0.843145621,30
1191,0.880836587,30
1192,0.925159549,30
1193,0.973028844,30
1194,1.020083543,30
1195,1.060356823,30
1196,1.086966054,30
1197,1.094726613,30
1198,1.083041407,30
1199,1.05581762,30
1200,1.018816339,30
1201,0.977394702,30
1202,0.93571793,30
1203,0.896848485,30
1204,0.863077814,30
1205,0.836224268,30
1206,0.817819711,30
1207,0.809166191,30
1208,0.811253464,30
1209,0.824543216,30
1210,0.848674978,30
1211,0.882227183,30
1212,0.922716518,30
1213,0.966956013,30
1214,1.011705831,30
1215,1.054363501,30
1216,1.093409426,30
1217,1.128454756,30
1218,1.159905229,30
1219,1.188360686,30
1220,1.213880085,30
1221,1.235209148,30
1222,1.249194341,30
1223,1.251063459,30
1224,1.236479805,30
1225,1.204731524,30
1226,1.160082491,30
1227,1.109905313,30
1228,1.061974213,30
1229,1.023036018,30
1230,0.998325307,30
1231,0.990905681,30
1232,1.000680081,30
1233,1.024173775,30
1234,1.055948917,30
1235,1.090766036,30
1236,1.124977067,30
1237,1.156736395,30
1238,1.185514036,30
1239,1.211381727,30
1240,1.23423637,30
1241,1.252989962,30
1242,1.264935265,30
1243,1.265942785,30
1244,1.252138911,30
1245,1.222215199,30
1246,1.178156432,30
1247,1.123865606,30
1248,1.063380729,30
1249,0.99993989,30
1250,0.935865835,30
1251,0.872831068,30
1252,0.812203068,30
1253,0.755349266,30
1254,0.703890004,30
1255,0.659939775,30
1256,0.626329964,30
1257,0.606547344,30
1258,0.603745378,30
1259,0.61856863,30
1260,0.647415797,30
1261,0.683343373,30
1262,0.718622878,30
1263,0.746488443,30
1264,0.762082987,30
1265,0.763416199,30
1266,0.751539631,30
1267,0.729367413,30
1268,0.700172869,30
1269,0.666725117,30
1270,0.631094896,30
1271,0.594807297,30
1272,0.559106058,30
1273,0.525217754,30
1274,0.494576144,30
1275,0.469028411,30
1276,0.451093667,30
1277,0.444281907,30
1278,0.453184154,30
1279,0.482520613,30
1280,0.534292594,30
1281,0.60437819,30
1282,0.682856887,30
1283,0.758972596,30
1284,0.825532058,30
1285,0.879675485,30
1286,0.92165967,30
1287,0.953606643,30
1288,0.97874332,30
1289,1.000846029,30
1290,1.023468801,30
1291,1.048951354,30
1292,1.077756495,30
1293,1.108613564,30
1294,1.13943693,30
1295,1.168463397,30
1296,1.194680988,30
1297,1.217350695,30
1298,1.235528096,30
1299,1.248153648,30
1300,1.254408358,30
1301,1.253934108,30
1302,1.246846361,30
1303,1.233650146,30
1304,1.215161161,30
1305,1.192473734,30
1306,1.166983737,30
1307,1.140472633,30
1308,1.115255135,30
1309,1.094333347,30
1310,1.081338155,30
1311,1.07986066,30
1312,1.091969303,30
1313,1.116398061,30
1314,1.147499407,30
1315,1.176694832,30
1316,1.196746249,30
1317,1.204876781,30
1318,1.201983297,30
1319,1.190133605,30
1320,1.170781656,30
1321,1.144232289,30
1322,1.110105421,30
1323,1.068303967,30
1324,1.019757936,30
1325,0.966383072,30
1326,0.910428925,30
1327,0.853900932,30
1328,0.798393466,30
1329,0.745154763,30
1330,0.695169228,30
1331,0.649216049,30
1332,0.607930108,30
1333,0.571873876,30
1334,0.541609377,30
1335,0.517751607,30
1336,0.500976236,30
1337,0.491938245,30
1338,0.491042725,30
1339,0.49802723,30
1340,0.511422666,30
1341,0.528164753,30
1342,0.543777451,30
1343,0.553435732,30
1344,0.55380903,30
1345,0.544712768,30
1346,0.528890899,30
1347,0.510068592,30
1348,0.491416018,30
1349,0.475228783,30
1350,0.463226552,30
1351,0.457005761,30
1352,0.458517517,30
1353,0.470451871,30
1354,0.496174676,30
1355,0.538588778,30
1356,0.597731788,30
1357,0.668837361,30
1358,0.743550835,30
1359,0.813670329,30
1360,0.873862816,30
1361,0.921939895,30
1362,0.957884709,30
